DAT_Path,Source,Source_ID,Category,VSX_Class,RA,Dec,Distance_pc,Mean_g,Mean_Abs_G,GBP_GRP,RUWE,RVamp,Search_Method,Num_Dips,Max_Duration_Days,Start_Recent_Dip,Max_Depth_Mag,Mag_Bin,Global_Detected,Global_Matches_Exp,Global_G_Peaks,Global_V_Peaks,CamMean_Detected,CamMean_Matches_Exp,CamMean_G_Peaks,CamMean_V_Peaks,CamMedian_Detected,CamMedian_Matches_Exp,CamMedian_G_Peaks,CamMedian_V_Peaks,Trend_Detected,Trend_Matches_Exp,Trend_G_Peaks,Trend_V_Peaks
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc18_cal/377957522430.dat,J042214+152530,3.77958E+11,Dippers,,65.55736276,15.42493885,288+2−2,13.35,3.47,1.17,1.31,54.18,Pipeline,6,44.2,4/10/22,1.02,13_13.5,TRUE,TRUE,6,2,TRUE,TRUE,5,2,TRUE,TRUE,6,2,TRUE,TRUE,7,2
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc22_cal/42950993887.dat,J202402+383938,42950993887,Dippers,,306.0094122,38.66055087,1827+52−46,13.11,-0.81,0.88,,1.46,Pipeline,7,1709.6,15/04/2018,0.76,13_13.5,FALSE,FALSE,0,0,FALSE,FALSE,0,0,FALSE,FALSE,0,0,TRUE,TRUE,2,1
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc21_cal/223339338105.dat,J174328+343315,2.23339E+11,Dippers,RS,265.8684124,34.55405423,1904+46−42,13.37,1.24,0.95,1.09,84.84,Pipeline,4,22.1,25/02/2020,0.32,13_13.5,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc13_cal/601296043597.dat,J080327-261620,6.01296E+11,Dippers,GCAS+LERI:,120.8622157,-26.27215412,4760+300−328,13.32,-0.67,0.02,,0.98,Pipeline,11,Ongoing,31/01/2022,0.49,13_13.5,TRUE,FALSE,3,0,TRUE,FALSE,4,0,TRUE,FALSE,5,0,TRUE,FALSE,2,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc13_cal/472447294641.dat,J184916-473251,4.72447E+11,Dippers,UXOR:,282.31475,-47.54741667,6778+541−541,13.23,-2.23,1.65,1.6,6.29,Known,1,273.1,8/7/21,0.33,13_13.5,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc6_cal/455267102087.dat,J183153-284827,4.55267E+11,Dippers,EA/GS,277.96999,-28.80754,2002+50−68,13.66,0.53,1.11,0.84,2.85,Known,2,Ongoing,6/3/25,1.65,13.5_14,FALSE,TRUE,0,0,FALSE,TRUE,0,0,FALSE,TRUE,0,0,FALSE,TRUE,0,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc4_cal/266288137752.dat,J070519+061219,2.66288E+11,Dippers,EA,106.32899,6.205306,1010+15−23,13.73,2.65,0.56,,0.97,Known,16,274.8,23/08/2024,3.84,13_13.5,FALSE,TRUE,0,0,FALSE,TRUE,0,0,FALSE,TRUE,0,0,FALSE,TRUE,0,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc17_cal/532576686103.dat,J081523-385923,5.32577E+11,Dippers,NL/VY:,123.8475,-38.98980556,556+3−3,13.94,3.77,0.36,,1.1,Known,5,608.1,30/03/2021,2.03,13.5_14,FALSE,TRUE,0,0,FALSE,TRUE,0,0,FALSE,TRUE,0,0,FALSE,TRUE,0,0
/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc8_cal/352187470767.dat,J085816-430955,3.52187E+11,Dippers,*,134.56485,-43.16532,1031+73−68,12.31,-0.6,-0.18,5.44,24.85,Known,1,Ongoing,6/4/25,0.99,12_12.5,FALSE,TRUE,0,0,FALSE,TRUE,0,0,FALSE,TRUE,0,0,FALSE,TRUE,0,0
/data/poohbah/1/assassin/rowan.90/lcsv2/12.5_13/lc19_cal/609886184506.dat,J114712-621037,6.09886E+11,Dippers,GCAS:,176.7999167,-62.17702778,2607+103−85,13.04,-0.19,-0.05,,0.9,Known,0,1282.8,20/11/2020,0.32,12.5_13,FALSE,TRUE,0,0,FALSE,TRUE,0,0,FALSE,TRUE,0,0,FALSE,TRUE,0,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc22_cal/68720274411.dat,J005437+644347,68720274411,Multiple Eclipse Binaries,EA/GS,13.652625,64.72975,2290+109−97,13.45,-1.52,1.2,1.54,48.78,Known,5,10.9,1/12/24,0.59,13_13.5,TRUE,TRUE,3,0,TRUE,TRUE,3,0,TRUE,TRUE,3,0,TRUE,TRUE,3,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc9_cal/377958261591.dat,J062510-075341,3.77958E+11,Multiple Eclipse Binaries,,96.29314956,-7.89464499,1904+66−52,13.68,0.17,1.17,1.44,23.68,Pipeline,1,4.3,14/08/2019,0.67,13.5_14,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc14_cal/515397118400.dat,J124745-622756,5.15397E+11,Multiple Eclipse Binaries,,191.9366145,-62.4654549,3866+202−246,13.54,-4.63,0.4,1.14,54.89,Pipeline,2,7.2,14/05/2024,0.38,13.5_14,TRUE,TRUE,2,0,TRUE,TRUE,2,0,TRUE,TRUE,2,0,TRUE,TRUE,2,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc29_cal/326417831663.dat,J175912-120956,3.26418E+11,Multiple Eclipse Binaries,,269.7994218,-12.16566391,1386+35−26,13.47,0.54,0.49,0.95,204.92,Pipeline,2,0,12/5/22,0.48,13_13.5,TRUE,TRUE,2,1,TRUE,TRUE,2,1,TRUE,TRUE,2,1,TRUE,TRUE,2,1
/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc11_cal/644245387906.dat,J181752-580749,6.44245E+11,Multiple Eclipse Binaries,EA/GS,274.4647083,-58.13033333,2656+135−110,12.45,-1.52,2.07,,1.32,Known,1,86.8,7/8/24,0.63,12_12.5,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc28_cal/661425129485.dat,J160757-574540,6.61425E+11,Multiple Eclipse Binaries,,241.9885247,-57.76106277,2557+80−75,13.9,-0.1,1.08,0.86,36.67,Pipeline,2,8.3,17/04/2024,0.31,13.5_14,TRUE,FALSE,2,0,TRUE,FALSE,2,0,FALSE,FALSE,2,0,TRUE,FALSE,2,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc18_cal/438086977939.dat,J073924-272916,4.38087E+11,Single Eclipse Binaries,,114.8503576,-27.48776143,5192+398−332,13,-2.84,1.52,1.18,23.91,Pipeline,1,26.9,25/02/2023,0.34,13.5_14,FALSE,FALSE,0,0,FALSE,FALSE,0,0,FALSE,FALSE,0,0,FALSE,FALSE,0,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc5_cal/360777377116.dat,J074007-161608,3.60777E+11,Single Eclipse Binaries,,115.0276126,-16.26896725,8202+1484−1391,13.1,-2.71,0.67,,2.28,Pipeline,1,4,21/09/2022,0.33,13_13.5,TRUE,TRUE,2,0,TRUE,TRUE,2,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc10_cal/635655234580.dat,J094848-545959,6.35655E+11,Single Eclipse Binaries,,147.1987289,-54.99963893,1711+43−38,13.07,0.83,0.28,,1.05,Pipeline,1,7.7,20/03/2019,0.32,13_13.5,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc35_cal/412317159120.dat,J162209-444247,4.12317E+11,Single Eclipse Binaries,,245.5357562,-44.71308061,1772+51−63,13.96,0.13,1.25,0.97,93.9,Pipeline,1,3.1,25/04/2023,0.61,13.5_14,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc36_cal/438086901547.dat,J183606-314826,4.38087E+11,Single Eclipse Binaries,SR,279.0252466,-31.80714478,6261+565−619,13.87,-1.83,1.77,0.9,4.14,Pipeline,1,10.7,10/3/22,0.39,13.5_14,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc23_cal/463856535113.dat,J205245-713514,4.63857E+11,Single Eclipse Binaries,,313.1890422,-71.58708665,1224+33−30,13.41,2.43,0.82,,1.35,Pipeline,1,2,14/04/2023,0.38,13_13.5,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,FALSE,FALSE,0,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc2_cal/120259184943.dat,J212132+480140,1.20259E+11,Single Eclipse Binaries,VAR,320.3840472,48.02785275,1528+65−59,13.15,-1.54,2.19,0.85,1.13,Pipeline,1,57.8,9/9/21,0.37,13_13.5,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc20_cal/25770019815.dat,J225702+562312,25770019815,Single Eclipse Binaries,E,344.2585271,56.38663345,2249+67−80,13.83,0.36,1.12,1.14,13.63,Pipeline,1,6,8/6/19,0.4,13.5_14,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc2_cal/515396514761.dat,J190316-195739,5.15397E+11,Single Eclipse Binaries,,285.8184954,-19.9609327,2931+84−111,13.61,-0.44,1.51,1.09,3.4,Pipeline,1,15.3,19/08/2019,0.39,13.5_14,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/14_14.5/lc51_cal/231929175915.dat,J175602+013135,2.31929E+11,Single Eclipse Binaries,EA/RS,269.0079973,1.52628966,3361+176−188,14.53,0.08,1.3,,1.03,Known,1,94.8,22/02/2024,2.28,14_14.5,FALSE,FALSE,0,0,FALSE,FALSE,0,0,FALSE,FALSE,0,0,FALSE,FALSE,0,0
/data/poohbah/1/assassin/rowan.90/lcsv2/14.5_15/lc2_cal/335007754417.dat,J073234-200049,3.35008E+11,Single Eclipse Binaries,EA,113.142375,-20.01358333,3646+254−284,14.48,0.01,0.32,,1.07,Known,1,113.8,7/10/23,1.38,14.5_15,TRUE,TRUE,4,0,TRUE,TRUE,4,0,TRUE,TRUE,4,0,TRUE,TRUE,4,0
/data/poohbah/1/assassin/rowan.90/lcsv2/12.5_13/lc10_cal/60130040391.dat,J223332+565552,60130040391,Single Eclipse Binaries,EA,338.384125,56.93108333,354+1−1,12.74,4.49,0.83,0.88,22.29,Known,1,19.9,15/11/2023,0.65,12.5_13,TRUE,TRUE,2,0,TRUE,TRUE,2,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc6_cal/317827964025.dat,J183210-173432,3.17828E+11,Single Eclipse Binaries,,278.0424857,-17.57545433,1942+123−85,12.72,-1.78,2.27,,0.95,Pipeline,1,41,2/9/18,0.31,13_13.5,TRUE,FALSE,1,0,FALSE,TRUE,0,0,TRUE,FALSE,1,0,TRUE,FALSE,1,0